month;day;week;temp_2;temp_1;actual;forecast_noaa;forecast_acc;forecast_under;friend
1;1;Fri;45;45;45;43;50;44;29
1;2;Sat;44;45;44;41;50;44;61
1;3;Sun;45;44;41;43;46;47;56
1;4;Mon;44;41;40;44;48;46;53
1;5;Tues;41;40;44;46;46;46;41
1;6;Wed;40;44;51;43;49;48;40
1;7;Thurs;44;51;45;45;49;46;38
1;8;Fri;51;45;48;43;47;46;34
1;9;Sat;45;48;50;46;50;45;47
1;10;Sun;48;50;52;45;48;48;49
1;11;Mon;50;52;45;42;48;48;39
1;12;Tues;52;45;49;44;50;45;61
1;13;Wed;45;49;55;45;51;46;33
1;14;Thurs;49;55;49;43;47;46;58
1;15;Fri;55;49;48;46;51;46;65
1;16;Sat;49;48;54;45;52;46;28
1;17;Sun;48;54;50;45;51;46;47
1;18;Mon;54;50;54;44;48;49;58
1;19;Tues;50;54;48;47;49;48;53
1;20;Wed;54;48;52;44;52;49;61
1;21;Thurs;48;52;52;43;51;46;57
1;22;Fri;52;52;57;47;48;48;60
1;23;Sat;52;57;48;45;49;50;37
1;24;Sun;57;48;51;46;50;48;54
1;25;Mon;48;51;54;45;51;49;63
1;26;Tues;51;54;56;44;53;50;61
1;27;Wed;54;56;57;45;51;49;54
1;28;Thurs;56;57;56;44;52;48;34
1;29;Fri;57;56;52;48;52;47;49
1;30;Sat;56;52;48;45;51;48;47
1;31;Sun;52;48;47;47;52;49;61
2;1;Mon;48;47;46;46;49;49;51
2;2;Tues;47;46;51;48;50;50;56
2;3;Wed;46;51;49;48;49;50;40
2;4;Thurs;51;49;49;44;54;51;44
2;5;Fri;49;49;53;47;50;49;45
2;6;Sat;49;53;49;47;53;49;56
2;7;Sun;53;49;51;46;51;48;63
2;8;Mon;49;51;57;49;52;50;34
2;9;Tues;51;57;62;45;52;49;57
2;10;Wed;57;62;56;48;50;49;30
2;11;Thurs;62;56;55;46;53;50;37
2;12;Fri;56;55;58;49;52;48;33
2;15;Mon;55;58;55;46;52;49;53
2;16;Tues;58;55;56;47;54;51;55
2;17;Wed;55;56;57;45;51;49;46
2;18;Thurs;56;57;53;47;55;49;34
2;19;Fri;57;53;51;50;52;51;42
2;20;Sat;53;51;53;48;55;51;43
2;21;Sun;51;53;51;49;54;52;46
2;22;Mon;53;51;51;46;51;50;59
2;23;Tues;51;51;60;49;53;51;43
2;24;Wed;51;60;59;47;53;50;46
2;25;Thurs;60;59;61;49;51;49;35
2;26;Fri;59;61;60;48;56;53;65
2;27;Sat;61;60;57;51;53;53;61
2;28;Sun;60;57;53;48;56;53;66
3;1;Tues;53;54;58;48;56;50;53
3;2;Wed;54;58;55;47;54;52;37
3;3;Thurs;58;55;59;49;54;50;71
3;4;Fri;55;59;57;47;56;53;45
3;5;Sat;59;57;64;49;53;51;46
3;6;Sun;57;64;60;52;53;51;49
3;7;Mon;64;60;53;49;57;53;71
3;8;Tues;60;53;54;48;56;51;70
3;9;Wed;53;54;55;48;56;54;57
3;10;Thurs;54;55;56;49;55;53;50
3;11;Fri;55;56;55;53;53;51;36
3;12;Sat;56;55;52;52;58;53;65
3;13;Sun;55;52;54;50;55;53;54
3;14;Mon;52;54;49;49;58;55;44
3;15;Tues;54;49;51;49;58;52;70
3;16;Wed;49;51;53;52;54;55;65
3;17;Thurs;51;53;58;49;58;52;62
3;18;Fri;53;58;63;51;57;54;56
3;19;Sat;58;63;61;54;59;54;62
3;20;Sun;63;61;55;51;56;55;50
3;21;Mon;61;55;56;52;56;55;52
3;22;Tues;55;56;57;51;55;54;64
3;23;Wed;56;57;53;50;58;55;70
3;24;Thurs;57;53;54;54;56;56;72
3;25;Fri;53;54;57;53;57;57;42
3;26;Sat;54;57;59;53;57;55;54
3;27;Sun;57;59;51;52;58;55;39
3;28;Mon;59;51;56;55;57;55;47
3;29;Tues;51;56;64;53;59;54;45
3;30;Wed;56;64;68;51;57;56;57
3;31;Thurs;64;68;73;55;59;56;56
4;1;Fri;68;73;71;54;59;55;41
4;2;Sat;73;71;63;55;58;58;45
4;3;Sun;71;63;69;54;61;56;64
4;4;Mon;63;69;60;54;59;56;45
4;5;Tues;69;60;57;52;58;56;72
4;6;Wed;60;57;68;53;59;57;64
4;7;Thurs;57;68;77;52;61;55;38
4;8;Fri;68;77;76;57;61;57;41
4;9;Sat;77;76;66;53;61;57;74
4;10;Sun;76;66;59;57;60;57;60
4;11;Mon;66;59;58;56;60;58;40
4;12;Tues;59;58;60;54;59;57;61
4;13;Wed;58;60;59;55;62;56;77
4;14;Thurs;60;59;59;57;63;58;66
4;15;Fri;59;59;60;58;61;60;40
4;16;Sat;59;60;68;56;60;59;59
4;17;Sun;60;68;77;58;62;59;54
4;18;Mon;68;77;89;55;59;57;39
4;19;Tues;77;89;81;59;63;59;61
4;20;Wed;89;81;81;56;63;61;66
4;21;Thurs;81;81;73;55;61;59;55
4;22;Fri;81;73;64;59;64;60;59
4;23;Sat;73;64;65;56;63;59;57
4;24;Sun;64;65;55;57;61;60;41
4;25;Mon;65;55;59;56;64;61;77
4;26;Tues;55;59;60;56;61;62;75
4;27;Wed;59;60;61;59;65;60;50
4;28;Thurs;60;61;64;56;65;62;73
4;29;Fri;61;64;61;61;65;61;49
4;30;Sat;64;61;68;60;65;62;78
5;1;Sun;61;68;77;60;65;60;75
5;2;Mon;68;77;87;60;66;61;59
5;3;Tues;77;87;74;62;66;64;69
5;4;Wed;87;74;60;59;65;64;61
5;5;Thurs;74;60;68;58;66;62;56
5;6;Fri;60;68;77;61;64;61;64
5;7;Sat;68;77;82;61;65;63;83
5;8;Sun;77;82;63;62;65;63;83
5;9;Mon;82;63;67;59;66;62;64
5;10;Tues;63;67;75;61;66;64;68
5;11;Wed;67;75;81;62;68;63;60
5;12;Thurs;75;81;77;62;67;63;81
5;13;Fri;81;77;82;63;67;66;67
5;14;Sat;77;82;65;64;66;66;65
5;15;Sun;82;65;57;63;69;64;58
5;16;Mon;65;57;60;61;65;65;53
5;17;Tues;57;60;71;62;65;65;55
5;18;Wed;60;71;64;61;68;65;56
5;19;Thurs;71;64;63;62;68;67;56
5;20;Fri;64;63;66;63;70;64;73
5;21;Sat;63;66;59;62;67;65;49
5;22;Sun;66;59;66;62;66;65;80
5;23;Mon;59;66;65;63;68;68;66
5;24;Tues;66;65;66;66;71;66;67
5;25;Wed;65;66;66;65;67;66;60
5;26;Thurs;66;66;65;64;70;65;85
5;27;Fri;66;65;64;64;67;68;73
5;28;Sat;65;64;64;64;69;65;64
5;29;Sun;64;64;64;65;71;65;76
5;30;Mon;64;64;71;64;70;66;69
5;31;Tues;64;71;79;63;72;68;85
6;1;Wed;71;79;75;65;69;66;58
6;2;Thurs;79;75;71;64;71;67;77
6;3;Fri;75;71;80;64;71;66;55
6;4;Sat;71;80;81;63;72;66;76
6;5;Sun;80;81;92;64;70;66;54
6;6;Mon;81;92;86;65;70;67;71
6;7;Tues;92;86;85;67;69;70;58
6;8;Wed;86;85;67;67;70;69;81
6;9;Thurs;85;67;65;66;73;69;80
6;10;Fri;67;65;67;67;71;67;73
6;11;Sat;65;67;65;69;72;71;87
6;12;Sun;67;65;70;65;73;70;83
6;13;Mon;65;70;66;66;72;69;79
6;14;Tues;70;66;60;66;71;69;85
6;15;Wed;66;60;67;65;73;71;69
6;16;Thurs;60;67;71;68;72;71;87
6;17;Fri;67;71;67;66;74;69;54
6;18;Sat;71;67;65;67;75;69;77
6;19;Sun;67;65;70;69;73;70;58
6;20;Mon;65;70;76;67;71;70;79
6;21;Tues;70;76;73;68;75;71;57
6;22;Wed;76;73;75;66;71;72;78
6;23;Thurs;73;75;68;68;72;71;56
6;24;Fri;75;68;69;67;73;73;65
6;25;Sat;68;69;71;68;73;73;89
6;26;Sun;69;71;78;67;74;72;70
6;27;Mon;71;78;85;70;74;72;84
6;28;Tues;78;85;79;72;76;74;67
6;29;Wed;85;79;74;68;76;74;81
6;30;Thurs;79;74;73;71;76;72;87
7;1;Fri;74;73;76;71;75;72;93
7;2;Sat;73;76;76;70;77;73;84
7;3;Sun;76;76;71;69;76;75;85
7;4;Mon;76;71;68;71;76;73;86
7;5;Tues;71;68;69;72;77;74;62
7;6;Wed;68;69;76;72;76;75;86
7;7;Thurs;69;76;68;73;77;74;72
7;8;Fri;76;68;74;72;79;75;77
7;9;Sat;68;74;71;70;79;76;60
7;10;Sun;74;71;74;71;77;76;95
7;11;Mon;71;74;74;74;79;75;71
7;12;Tues;74;74;77;74;77;77;71
7;13;Wed;74;77;75;74;78;76;56
7;14;Thurs;77;75;77;74;76;77;77
7;15;Fri;75;77;76;74;80;78;75
7;16;Sat;77;76;72;76;78;75;61
7;17;Sun;76;72;80;76;78;77;88
7;18;Mon;72;80;73;75;77;75;66
7;19;Tues;80;73;78;76;78;77;90
7;20;Wed;73;78;82;75;78;77;66
7;21;Thurs;78;82;81;73;81;78;84
7;22;Fri;82;81;71;72;77;76;70
7;23;Sat;81;71;75;75;81;76;86
7;24;Sun;71;75;80;76;78;78;75
7;25;Mon;75;80;85;75;82;76;81
7;26;Tues;80;85;79;73;79;76;74
7;27;Wed;85;79;83;73;78;79;79
7;28;Thurs;79;83;85;76;80;78;76
7;29;Fri;83;85;88;77;80;79;77
7;30;Sat;85;88;76;75;79;77;70
7;31;Sun;88;76;73;76;78;79;95
8;1;Mon;76;73;77;76;78;79;65
8;2;Tues;73;77;73;75;80;79;62
8;3;Wed;77;73;75;77;81;77;93
8;4;Thurs;73;75;80;73;79;78;66
8;5;Fri;75;80;79;75;81;78;71
8;6;Sat;80;79;72;76;81;79;60
8;7;Sun;79;72;72;74;78;77;95
8;8;Mon;72;72;73;76;78;77;65
8;9;Tues;72;73;72;77;80;79;94
8;10;Wed;73;72;76;77;78;77;68
8;11;Thurs;72;76;80;74;81;75;80
8;12;Fri;76;80;87;72;79;77;81
8;13;Sat;80;87;90;73;79;78;73
8;14;Sun;87;90;83;75;78;78;65
8;15;Mon;90;83;84;76;79;75;70
8;16;Tues;83;84;81;72;78;78;90
8;23;Tues;84;81;79;73;78;77;89
8;28;Sun;81;79;75;71;77;76;85
8;30;Tues;79;75;70;74;76;75;63
9;3;Sat;75;70;67;71;75;73;68
9;4;Sun;70;67;68;72;77;75;64
9;5;Mon;67;68;68;71;75;73;54
9;6;Tues;68;68;68;73;76;75;79
9;7;Wed;68;68;67;72;78;71;70
9;8;Thurs;68;67;72;69;77;73;56
9;9;Fri;67;72;74;68;77;71;78
9;10;Sat;72;74;77;70;77;74;91
9;11;Sun;74;77;70;69;75;71;70
9;12;Mon;77;70;74;67;73;73;90
9;13;Tues;70;74;75;71;75;70;82
9;14;Wed;74;75;79;67;75;73;77
9;15;Thurs;75;79;71;66;76;69;64
9;16;Fri;79;71;75;70;74;71;52
9;17;Sat;71;75;68;66;73;70;84
9;18;Sun;75;68;69;66;73;71;90
9;19;Mon;68;69;71;65;74;71;88
9;20;Tues;69;71;67;67;73;69;81
9;21;Wed;71;67;68;65;70;70;76
9;22;Thurs;67;68;67;65;70;69;56
9;23;Fri;68;67;64;67;69;67;61
9;24;Sat;67;64;67;65;71;66;64
9;25;Sun;64;67;76;64;72;67;62
9;26;Mon;67;76;77;64;69;69;74
9;27;Tues;76;77;69;66;67;68;64
9;28;Wed;77;69;68;66;68;66;62
9;29;Thurs;69;68;66;63;71;68;57
9;30;Fri;68;66;67;64;67;65;74
10;1;Sat;66;67;63;64;70;64;54
10;2;Sun;67;63;65;62;69;66;82
10;3;Mon;63;65;61;63;68;65;49
10;4;Tues;65;61;63;62;69;65;60
10;5;Wed;61;63;66;61;66;65;48
10;6;Thurs;63;66;63;62;67;63;55
10;7;Fri;66;63;64;62;67;64;78
10;8;Sat;63;64;68;60;65;61;73
10;9;Sun;64;68;57;58;65;63;55
10;10;Mon;68;57;60;58;64;61;62
10;11;Tues;57;60;62;58;66;61;58
10;12;Wed;60;62;66;60;63;63;52
10;13;Thurs;62;66;60;60;62;60;57
10;14;Fri;66;60;60;56;64;60;78
10;15;Sat;60;60;62;59;62;59;46
10;16;Sun;60;62;60;57;60;59;40
10;17;Mon;62;60;60;57;63;59;62
10;18;Tues;60;60;61;54;60;57;53
10;19;Wed;60;61;58;58;60;57;41
10;20;Thurs;61;58;62;58;59;58;43
10;21;Fri;58;62;59;56;60;59;44
10;22;Sat;62;59;62;56;59;58;44
10;23;Sun;59;62;62;57;58;59;67
10;24;Mon;62;62;61;52;61;57;70
10;25;Tues;62;61;65;53;60;55;70
10;26;Wed;61;65;58;53;57;57;41
10;27;Thurs;65;58;60;51;60;55;39
10;28;Fri;58;60;65;52;56;55;52
10;29;Sat;60;65;68;55;59;55;65
10;31;Mon;65;117;59;51;59;56;62
11;1;Tues;117;59;57;51;59;55;61
11;2;Wed;59;57;57;54;58;55;70
11;3;Thurs;57;57;65;53;54;54;35
11;4;Fri;57;65;65;49;55;54;38
11;5;Sat;65;65;58;49;58;52;41
11;6;Sun;65;58;61;52;57;55;71
11;7;Mon;58;61;63;51;56;51;35
11;8;Tues;61;63;71;49;57;52;49
11;9;Wed;63;71;65;48;56;52;42
11;10;Thurs;71;65;64;52;54;51;38
11;11;Fri;65;64;63;50;53;52;55
11;12;Sat;64;63;59;50;52;52;63
11;13;Sun;63;59;55;48;56;50;64
11;14;Mon;59;55;57;49;53;53;42
11;15;Tues;55;57;55;47;54;51;46
11;16;Wed;57;55;50;50;51;49;34
11;17;Thurs;55;50;52;46;51;50;57
11;18;Fri;50;52;55;50;53;50;35
11;19;Sat;52;55;57;50;54;49;56
11;20;Sun;55;57;55;47;54;48;30
11;21;Mon;57;55;54;46;51;49;67
11;22;Tues;55;54;54;46;54;49;58
11;23;Wed;54;54;49;48;52;49;38
11;24;Thurs;54;49;52;47;53;48;29
11;25;Fri;49;52;52;45;52;47;41
11;26;Sat;52;52;53;48;50;47;58
11;27;Sun;52;53;48;48;49;49;53
11;28;Mon;53;48;52;46;48;49;44
11;29;Tues;48;52;52;43;48;47;50
11;30;Wed;52;52;52;47;52;49;44
12;1;Thurs;52;52;46;44;48;49;39
12;2;Fri;52;46;50;46;51;49;41
12;3;Sat;46;50;49;42;52;47;58
12;4;Sun;50;49;46;45;47;47;53
12;5;Mon;49;46;40;43;50;45;65
12;6;Tues;46;40;42;44;50;45;56
12;7;Wed;40;42;40;44;51;46;62
12;8;Thurs;42;40;41;45;51;47;36
12;9;Fri;40;41;36;43;51;44;54
12;10;Sat;41;36;44;44;48;44;65
12;11;Sun;36;44;44;41;46;47;35
12;12;Mon;44;44;43;43;50;45;42
12;13;Tues;44;43;40;41;47;46;46
12;14;Wed;43;40;39;45;48;45;49
12;15;Thurs;40;39;39;45;49;47;46
12;16;Fri;39;39;35;44;49;44;39
12;17;Sat;39;35;35;43;47;46;38
12;18;Sun;35;35;39;44;46;46;36
12;19;Mon;35;39;46;42;46;45;51
12;20;Tues;39;46;51;45;49;45;62
12;21;Wed;46;51;49;44;50;46;39
12;22;Thurs;51;49;45;42;47;46;38
12;23;Fri;49;45;40;45;49;44;35
12;24;Sat;45;40;41;44;47;46;39
12;25;Sun;40;41;42;42;49;44;31
12;26;Mon;41;42;42;45;48;46;58
12;27;Tues;42;42;47;41;50;47;47
12;28;Wed;42;47;48;41;49;44;58
12;29;Thurs;47;48;48;43;50;45;65
12;30;Fri;48;48;57;44;46;44;42
12;31;Sat;48;57;40;42;48;47;57
